n_personas_1_dosis;%personas_1_dosis;n_personas_pauta_completa;%personas_pauta_completa;cod_cuando;cod_donde_provincia;cod_quien_vacunas
0;0,30721966205837176;0;0,21686093792355651;63;4;7
0;0,17833259028087384;0;0,12631891811561896;63;5;7
2;0,3445646341118988;1;0,27113282684214984;63;6;7
3;0,26964829493944537;1;0,16271879867035496;63;7;7
0;0,0015327667205689631;0;0;63;1;8
-2;0,0019163788105994912;-1;0,00095818940529974561;63;2;8
-1;0,0082734884336631703;-1;0,003309395373465268;63;3;8
0;0,0048001097167935268;0;0,0027429198381677296;63;8;8
0;0,0093665847090504632;1;0,0093665847090504632;63;4;8
0;0,0032105477194409367;0;0,0010701825731469789;63;5;8
-1;0,0046723261714959347;0;0,0028752776439974984;63;6;8
1;0,0056013490406952747;0;0,0035376941309654369;63;7;8
8;104,18897309323506;18;101,29319335326427;64;1;1
25;106,7088136853849;21;104,42171811082187;64;2;1
2;104,15491823088698;42;102,36042858293725;64;3;1
19;103,51659730380932;33;101,30826977837074;64;8;1
13;106,11617081562437;18;103,75632463064157;64;4;1
7;101,41386961242506;38;99,577491384600862;64;5;1
58;100,46816355220753;110;97,810373867720585;64;6;1
30;106,25091676351451;71;103,7607049770386;64;7;1
57;99,74544001009825;344;92,377926913933479;64;1;2
137;101,1769079611238;1157;91,707472515800092;64;2;2
26;99,306095777452782;909;93,387683977969317;64;3;2
109;99,698382997737866;1189;90,704331555282494;64;8;2
48;101,41495080636982;431;95,149102343036816;64;4;2
23;96,733811535816059;557;91,608529036061711;64;5;2
201;93,191608846327213;1966;84,699962315178112;64;6;2
136;100,27928595212046;1353;92,434816289641958;64;7;2
255;87,435579440540167;915;15,620779936612925;64;1;3
1024;87,100927064678757;1656;12,322983868067693;64;2;3
57;95,934153783792908;1339;18,139236373053496;64;3;3
420;90,587738424971022;1555;18,937474217691083;64;8;3
188;92,284823171065355;1413;15,807904864391633;64;4;3
81;95,355305825785535;1914;18,582969920608296;64;5;3
1015;79,281451987094414;3867;13,69222966775652;64;6;3
910;91,451689483263436;5270;15,765707842051119;64;7;3
2896;61,757526444263632;127;8,6100140903768683;64;1;4
8195;53,551015219015028;533;8,7065691265355412;64;2;4
2136;51,905178388725702;411;9,7783755239446855;64;3;4
4851;53,870608920305713;288;10,209910653414187;64;8;4
2645;50,394914025274495;210;8,425264139216905;64;4;4
2059;49,233410524634671;781;10,110396869759642;64;5;4
8791;52,201204988090232;826;7,4268900498408694;64;6;4
9836;49,12830102115295;732;8,9595918168737008;64;7;4
181;11,227967352609186;165;4,9332870249775693;64;1;5
299;13,146257500646314;321;6,4461336804531912;64;2;5
69;14,838132931944774;114;6,6618785290229905;64;3;5
390;14,158916686938243;218;6,6534433612145483;64;8;5
85;12,397164588399647;59;4,8610751798002791;64;4;5
150;14,471715910931559;158;6,2270730708031214;64;5;5
377;11,477018306334783;206;5,1020676939286185;64;6;5
294;12,463536726510069;269;5,7947813348097474;64;7;5
31;5,0766300574947936;20;2,2535110984531586;64;1;6
72;6,2337091009073413;14;2,8507011273027221;64;2;6
23;8,3504730563554102;14;2,9240367475661593;64;3;6
278;6,6941136247079607;53;2,984500541341387;64;8;6
16;5,9821032584592109;14;2,4027549503013228;64;4;6
32;5,9621743689007181;27;2,4800387127994195;64;5;6
73;5,3713728522914499;17;2,6234827342725531;64;6;6
