"confirmados_pdia";"total_confirmados";"curados";"fallecidos";"cod_quien";"cod_cuando"
0;0;0;0;31;519
0;0;0;0;32;519
0;0;0;0;33;519
0;0;0;0;34;519
0;0;0;0;35;519
0;0;0;0;36;519
0;0;0;0;1;520
0;0;0;0;2;520
0;0;0;0;3;520
0;0;0;0;4;520
0;0;0;0;5;520
0;0;0;0;6;520
0;0;0;0;7;520
0;0;0;0;8;520
0;0;0;0;9;520
-1;-1;1;0;10;520
0;0;0;0;11;520
0;0;0;0;12;520
0;0;0;0;13;520
0;0;0;0;14;520
0;0;0;0;15;520
0;0;0;0;16;520
0;0;0;0;17;520
0;0;0;0;18;520
0;0;0;0;19;520
0;0;0;0;20;520
0;0;0;0;21;520
0;0;0;0;22;520
0;0;0;0;23;520
1;1;0;0;24;520
-1;-1;0;0;25;520
0;0;0;0;26;520
0;0;0;0;27;520
0;0;0;0;28;520
0;0;0;0;29;520
0;0;0;0;30;520
0;0;0;0;31;520
0;0;0;0;32;520
-2;-2;0;0;33;520
0;0;0;0;34;520
0;0;0;0;35;520
0;0;0;0;36;520
0;0;0;0;1;521
0;0;0;0;2;521
0;0;0;0;3;521
0;0;0;0;4;521
0;0;0;0;5;521
0;0;0;0;6;521
0;0;0;0;7;521
0;0;0;0;8;521
0;0;0;0;9;521
0;0;0;0;10;521
0;0;0;0;11;521
0;0;0;0;12;521
0;0;0;0;13;521
0;0;0;0;14;521
0;0;0;0;15;521
0;0;0;0;16;521
0;0;0;0;17;521
0;0;0;0;18;521
0;0;0;0;19;521
0;0;0;0;20;521
0;0;0;0;21;521
0;0;0;0;22;521
0;0;0;0;23;521
0;0;0;0;24;521
0;0;0;0;25;521
0;0;0;0;26;521
0;0;0;0;27;521
0;0;0;0;28;521
0;0;0;0;29;521
0;0;0;0;30;521
0;0;0;0;31;521
0;0;0;0;32;521
0;0;0;0;33;521
0;0;0;0;34;521
0;0;0;0;35;521
0;0;0;0;36;521
0;0;0;0;1;522
0;0;0;0;2;522
0;0;0;0;3;522
0;0;0;0;4;522
0;0;0;0;5;522
0;0;0;0;6;522
0;0;0;0;7;522
0;0;0;0;8;522
0;0;0;0;9;522
0;0;0;0;10;522
0;0;0;0;11;522
0;0;0;0;12;522
0;0;0;0;13;522
0;0;0;0;14;522
0;0;0;0;15;522
0;0;0;0;16;522
0;0;0;0;17;522
0;0;0;0;18;522
0;0;0;0;19;522
0;0;0;0;20;522
0;0;1;0;21;522
0;0;0;0;22;522
0;0;0;0;23;522
0;0;0;0;24;522
0;0;0;0;25;522
0;0;0;0;26;522
0;0;0;0;27;522
1;1;1;0;28;522
0;0;0;0;29;522
0;0;0;0;30;522
0;0;0;0;31;522
0;0;0;0;32;522
0;0;0;0;33;522
0;0;0;0;34;522
0;0;0;0;35;522
0;0;0;0;36;522
